瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 秦搁扁拘(hPa),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
156,堡林,2012-03-05,6.7,5,8.2,19.5,2.9,6.1,96,9.4,1001.8,1010.6,0,1.94
156,堡林,2012-03-06,5.8,2.6,8.5,1.5,2.7,2.2,79.1,7.3,1005.6,1014.5,3.4,4.98
156,堡林,2012-03-07,5.1,1.2,10.6,,2.1,-0.9,66.5,5.8,1009.6,1018.6,4,9.93
156,堡林,2012-03-08,4.9,1.2,11.5,,3.1,-5.3,51.3,4.2,1011.7,1020.7,6.7,11.54
156,堡林,2012-03-09,4,-0.4,12.3,,2,-5.3,52.4,4.1,1011.3,1020.3,9.6,14.97
156,堡林,2012-03-10,4,-0.2,11,,1.6,-3.7,60.9,4.8,1012.2,1021.2,10.2,15.22
156,堡林,2012-03-11,0.1,-2.4,2.4,0,2.9,-8.6,53.9,3.3,1015.8,1025,10,12.27
156,堡林,2012-03-12,0.5,-2.6,5.5,,2.8,-11,44.4,2.7,1019.1,1028.3,10.9,17.43
156,堡林,2012-03-13,2.6,-3.5,10.8,,1.3,-6.1,55.3,3.9,1018.3,1027.5,10.9,16.75
156,堡林,2012-03-14,5.4,-2,13.5,,1.4,-1.4,64,5.6,1017.9,1026.9,9.2,14.8
156,堡林,2012-03-15,9.3,2.4,16.7,,2.7,-3.2,49.1,5.1,1017.9,1026.8,9.4,16.44
156,堡林,2012-03-16,8.7,7,12.3,3,2.3,5.1,79.6,9,1007.3,1016.1,0,1.31
156,堡林,2012-03-17,9,7.3,10.6,1,2,8.2,94.6,10.8,1002.9,1011.6,0,2.71
156,堡林,2012-03-18,6.1,1.5,10.3,0.1,1.9,3.7,84.9,8.1,1007.1,1016,2.5,8.31
156,堡林,2012-03-19,4.2,0.2,11.2,,1.5,-2.9,62.5,5,1011.8,1020.8,8.5,14.27
156,堡林,2012-03-20,4.4,-1,10.8,,2.7,-9.4,37.9,3,1012.3,1021.3,10.9,17.3
156,堡林,2012-03-21,6.3,-0.6,14.7,,1.8,-5.3,45.8,4.2,1015,1024,10.8,20.74
156,堡林,2012-03-22,4.8,2.4,6,21,2.5,2,83.6,7.3,1010.7,1019.7,0,2.42
156,堡林,2012-03-23,6.4,3.9,8.2,15.5,2.3,5.5,94.9,9.1,1000.3,1009.2,0,1.33
156,堡林,2012-03-24,5.4,2.8,9.3,0.5,3.1,-3.1,56.9,5,1006.1,1015,8,19.59
156,堡林,2012-03-25,5,2.2,9.5,,2.5,-7.2,43.1,3.6,1012.1,1021,11.4,22.02
156,堡林,2012-03-26,5.2,-0.2,11.8,,1.6,-6.6,44.8,3.8,1016.2,1025.3,11.4,22.68
156,堡林,2012-03-27,9,-0.3,18.1,,2.4,-0.9,55.3,6.1,1015.9,1024.8,10.8,21.35
156,堡林,2012-03-28,13,8.3,20.2,,1.5,1.8,52,7.2,1016.6,1025.3,10.5,20.75
156,堡林,2012-03-29,14,5.8,20.5,0.3,2.9,7,64.1,10.4,1014.1,1022.8,7.2,16.16
156,堡林,2012-03-30,12.1,6.5,15.3,30,2.7,10,87.9,12.8,1007,1015.7,0,1.83
156,堡林,2012-03-31,7.1,2.7,13,,3.3,-3.7,48.6,4.8,1009.4,1018.3,10.9,20.94
156,堡林,2012-04-01,7,0.8,14.3,,2.4,-6.2,41.3,4,1014.4,1023.4,11.3,22.25
156,堡林,2012-04-02,12,3.8,18.4,0.5,3.5,5.5,66.1,9.6,1007.2,1015.9,7.6,16.37
156,堡林,2012-04-03,7.5,4,15.5,19.5,4.4,0.4,64.4,7.3,1000.1,1008.9,6.3,12.96
156,堡林,2012-04-04,9.3,1.3,17,,4.1,0.8,57,6.6,1006.3,1015.1,10.9,21.25
156,堡林,2012-04-05,9.1,4,16.6,,1.9,-2.6,49.3,5.3,1005.4,1014.2,11.1,22.04
156,堡林,2012-04-06,7.1,1.6,13.8,,2.3,-5.4,42.1,4.2,1010.5,1019.4,11.6,23.05
156,堡林,2012-04-07,9,1.6,16.7,,1.7,-5,39.5,4.2,1014.2,1023.1,11.6,23.29
156,堡林,2012-04-08,14.2,5.1,22.6,,3.4,3.3,50.8,8,1012.8,1021.5,10.9,22.85
156,堡林,2012-04-09,17.2,14,23.5,,3.6,11.3,70,13.4,1012.2,1020.8,5.4,14.43
156,堡林,2012-04-10,14.7,13.1,17.2,3,2.5,11.3,81.3,13.4,1006.8,1015.4,0,3.81
156,堡林,2012-04-11,12,5.9,16.4,3.5,1.8,9.4,85.1,12.3,998.8,1007.4,4.5,10.32
156,堡林,2012-04-12,10.4,3.2,18.2,,1.5,-0.2,51.8,6.1,1003.9,1012.7,11.2,23.33
156,堡林,2012-04-13,10.4,7.5,13.1,1,2,3.1,62.5,8,1004.4,1013.1,0.5,5.93
156,堡林,2012-04-14,14.2,7.3,22.2,,1.7,4.5,56.1,8.4,1005.7,1014.3,11.2,23.9
156,堡林,2012-04-15,16.1,9.2,25,,1.6,4.4,51.4,8.5,1004.2,1012.8,9.6,23.76
156,堡林,2012-04-16,14.4,9,23.7,,1.4,5,56.3,8.8,1004.7,1013.3,11.4,23.11
156,堡林,2012-04-17,13.1,5.3,21.5,,1.8,1.7,50.9,7,1007.1,1015.8,12.2,24.56
156,堡林,2012-04-18,16,8.5,24,,1.8,3,45.5,7.7,1008.9,1017.5,9.9,19.76
156,堡林,2012-04-19,13.5,11.5,16.1,3.5,1.9,7.4,69.3,10.5,1010.8,1019.5,0,5.8
156,堡林,2012-04-20,16.5,11.8,20.5,0.5,3.8,10.4,68.5,12.6,1010.1,1018.7,2.6,11.77
156,堡林,2012-04-21,15.5,13.4,17.5,29.5,3.9,12.6,83.3,14.6,998.1,1006.6,0,2.59
156,堡林,2012-04-22,11,9.5,15.3,1.5,3.4,8.8,87.3,11.3,1000.7,1009.4,2,6.43
156,堡林,2012-04-23,17,9.2,25.3,,2,10.2,67.8,12.5,1005.2,1013.7,9.1,20.8
156,堡林,2012-04-24,20,11.9,28.5,,2,9.6,55,12,1004.2,1012.6,10.1,20.9
156,堡林,2012-04-25,15.7,9.8,20.2,19.5,2.8,13.3,86.8,15.5,993.2,1001.7,0,2.17
156,堡林,2012-04-26,12.9,8.4,18.2,0.5,2.2,1.5,50.9,7,1001.6,1010.2,12.6,27.32
156,堡林,2012-04-27,15.9,6.5,25.8,,2.2,-1.2,37,5.7,1004.7,1013.2,12.4,26.37
156,堡林,2012-04-28,18.7,9.5,27.9,,2.1,4.6,43.4,8.6,1006.9,1015.4,12.1,26.31
156,堡林,2012-04-29,17.6,13.5,20.6,,1.8,12,70.1,14.2,1006.1,1014.6,0,6.56
156,堡林,2012-04-30,19.9,15.5,25.4,,3.5,12.2,62.5,14.2,1001.9,1010.3,7.8,19.17
156,堡林,2012-05-01,17.6,15.2,21.5,20.5,2.3,15.1,86.3,17.2,999.8,1008.3,0,3.67
156,堡林,2012-05-02,19.8,16.3,26.9,4.5,1.8,16.5,83,18.8,996.5,1004.9,3.6,14.66
156,堡林,2012-05-03,18.9,14.2,24.8,,1.9,13.1,72,15.2,996.1,1004.4,11.6,24.51
156,堡林,2012-05-04,20.2,13.2,27.6,,1.4,11.6,61.4,13.6,999.7,1008.1,12.4,25.96
156,堡林,2012-05-05,19.3,13.5,27.8,1,2.2,10.2,60.5,12.6,999.4,1007.8,9.9,21.64
156,堡林,2012-05-06,19.6,12.4,27.3,,2.4,7,50.5,10.3,999.4,1007.8,11.5,24.95
156,堡林,2012-05-07,21.3,15.8,28.9,,1.8,11.6,57.4,13.8,999.1,1007.4,8.5,22.15
156,堡林,2012-05-08,21.4,16.7,30.1,,2.5,13.5,63,15.7,999.4,1007.7,10,22.31
156,堡林,2012-05-09,21.4,15.9,30,,1.9,12.2,60.1,14.4,1003.9,1012.3,10.7,23.64
156,堡林,2012-05-10,19.5,14.3,26.9,,1.7,13.8,71.4,15.9,1006.7,1015.1,10.2,22.02
156,堡林,2012-05-11,17.5,15.1,21.7,,2,12,70.6,14,1007.7,1016.3,1.3,9.74
156,堡林,2012-05-12,17.6,13.4,23.4,,2.1,9.6,60.9,11.9,1006.3,1014.8,10.1,22.86
156,堡林,2012-05-13,17.1,13.5,20.1,0,1.2,9.7,62.6,12,1004.2,1012.7,0.5,7.08
156,堡林,2012-05-14,16.9,16,18,14.5,2,14.9,89,17.1,1000.4,1008.9,0,3.85
156,堡林,2012-05-15,18.4,14.4,23.5,0.5,1.6,12,70,14.3,998.8,1007.2,10.1,23.8
156,堡林,2012-05-16,17.9,12.9,24.6,1.5,2.1,12.5,73,14.6,997.1,1005.5,6.7,18.43
156,堡林,2012-05-17,17.4,12.4,23.1,,2.3,9.1,62.3,11.7,997.4,1005.8,12.6,25.61
156,堡林,2012-05-18,18.3,10.4,26.7,,1.7,9.5,61.1,11.9,1006.1,1014.6,12.5,26.57
156,堡林,2012-05-19,19.3,13.8,25.4,,1.1,8.7,52.9,11.3,1007.5,1016,2.5,14.4
156,堡林,2012-05-20,20,13.8,28,,1.5,9,52.5,11.6,1006.2,1014.6,12,24.46
156,堡林,2012-05-21,21.5,14.1,28.4,,1.7,9.7,51.5,12.2,1007.6,1016,11.1,22.63
156,堡林,2012-05-22,21.7,14.9,28.7,,1.5,10.7,53,12.9,1006.4,1014.8,10.2,22.18
156,堡林,2012-05-23,22.4,16.8,29.9,,1.3,10.5,50,12.8,1004.4,1012.7,9.4,23.31
156,堡林,2012-05-24,21,17.3,25.4,0,1.3,11.2,54.6,13.3,1003,1011.4,1.7,12.26
156,堡林,2012-05-25,21,17.2,27.7,,1.4,11.2,55,13.3,1002,1010.3,7.6,20.56
156,堡林,2012-05-26,21.6,14.9,29.5,,1.3,6.2,42.4,9.8,1002.6,1010.9,12.6,25.01
156,堡林,2012-05-27,21.9,14.5,29.5,,1.4,8.2,45,11,1004.8,1013.1,12.7,26.93
156,堡林,2012-05-28,23.2,16.5,30.2,,1.3,10.7,48.9,13.1,1008.6,1016.9,11.4,21.72
156,堡林,2012-05-29,23.6,16.2,31.6,,1.3,9,44,11.7,1009.6,1017.9,11.2,24.57
156,堡林,2012-05-30,21.7,19.7,26.4,0.1,2.7,14,62.3,16.1,1009.5,1017.9,4.1,14.01
156,堡林,2012-05-31,22.3,17.3,28.1,,2,13.8,60.6,15.8,1008.6,1017,6.9,17.98
156,堡林,2012-06-01,22.1,16.5,28.6,,1.2,13.3,60.1,15.3,1007.1,1015.5,6.6,18.99
156,堡林,2012-06-02,20.9,17.9,29.1,3.5,1.7,14.5,68.3,16.6,1005.3,1013.6,3.4,13.63
156,堡林,2012-06-03,22.5,15.6,30.3,,1.5,10.7,52.3,13.2,1003.9,1012.3,10.9,25.63
156,堡林,2012-06-04,22.7,17.9,27.9,,2,14.1,59.3,16.2,1003,1011.3,3.5,13.8
156,堡林,2012-06-05,23.8,19.9,29.6,,1.3,16.3,64.3,18.5,999.4,1007.7,10.8,24.11
156,堡林,2012-06-06,22.5,19,27.3,,1.5,17,71.9,19.3,997.4,1005.7,4.1,14.98
156,堡林,2012-06-07,23.8,19.1,30.9,,2,16,64.4,18.2,997.1,1005.3,7.2,21.18
156,堡林,2012-06-08,21,19.4,23,2.5,1.6,17.1,79,19.6,993.4,1001.7,1.1,4.92
156,堡林,2012-06-09,23.6,19.1,30.2,0.1,2,17.2,69.5,19.6,993.4,1001.6,7.1,19
156,堡林,2012-06-10,24,18.3,31.4,,2,16.2,63.5,18.4,993.8,1002,9.7,21.06
156,堡林,2012-06-11,23.1,19.4,27.6,,1.8,16.7,68.1,18.9,992.6,1000.8,1.6,13.5
156,堡林,2012-06-12,23.6,19.4,30.7,12,1.9,17,68.6,19.4,992.4,1000.6,6.6,17.96
156,堡林,2012-06-13,23.1,19.9,30.6,32.5,2,17.7,73.9,20.2,998.7,1006.9,7.1,18.36
156,堡林,2012-06-14,23.7,18.7,29.9,,1.8,16.4,65.8,18.6,1003.1,1011.4,11.4,23.66
156,堡林,2012-06-15,21.5,19.9,23.7,0.4,2.4,16.8,74.9,19.1,1000.5,1008.8,0.7,6.22
156,堡林,2012-06-16,23.1,18.1,29.9,,1.3,16.7,69.5,19,999.1,1007.3,11.2,21.49
156,堡林,2012-06-17,23.4,19,29.2,,1.3,17.3,70.8,19.8,1002.8,1011.1,7.1,19.94
156,堡林,2012-06-18,21.4,19.2,25.3,7,1.5,18.1,82.9,20.8,999.8,1008.2,0,6.35
156,堡林,2012-06-19,24.2,18.8,31.4,3,2.5,17.8,70.3,20.4,992,1000.1,9.3,22.54
156,堡林,2012-06-20,24.2,20.5,29.4,,2.6,18.6,71.8,21.5,997,1005.2,6.6,17.44
156,堡林,2012-06-21,25.2,20.2,31.8,5.5,2.2,18.5,69.1,21.3,998.1,1006.3,10.9,24.81
156,堡林,2012-06-22,25,20.1,31.1,,2,17.1,64.8,19.6,1001.6,1009.8,9.2,23.46
156,堡林,2012-06-23,25,20.3,30.6,,1.9,16.9,62.3,19.3,999.4,1007.7,8,20.56
156,堡林,2012-06-24,24.5,22,28.6,0.1,2.2,17,63.5,19.4,996.3,1004.5,0.8,9.96
156,堡林,2012-06-25,25.1,19.8,31.7,,3.8,13.6,50.3,15.6,999.2,1007.4,11.8,22.81
156,堡林,2012-06-26,22.8,18.5,28.1,,4,14.6,60.6,16.7,1002.1,1010.3,4.8,14.53
156,堡林,2012-06-27,23.5,19.7,29.1,,3.9,16.6,66,18.9,1002.9,1011.2,4.3,13.77
156,堡林,2012-06-28,24.9,18.9,31.2,,2.6,17,63.8,19.4,1003.6,1011.8,6.6,18.59
156,堡林,2012-06-29,23.1,21.2,29.1,5.5,2.1,19.1,79.9,22.1,1001.5,1009.8,2.3,12.64
156,堡林,2012-06-30,24,21.6,26,11,4.9,22.2,89.6,26.8,996.5,1004.7,0,3.03
156,堡林,2012-07-01,23,20.6,27.2,0,1.6,19.3,80.6,22.4,997.8,1006.1,1.5,12.72
156,堡林,2012-07-02,24.1,20.5,28.5,0,1.9,19.2,75.4,22.3,995.3,1003.5,3.6,15.64
156,堡林,2012-07-03,24.7,22,29.7,0,2.9,20.7,79,24.4,993.3,1001.4,5.9,15.77
156,堡林,2012-07-04,24.7,22.6,28.5,0,2.5,21.2,81.4,25.2,997,1005.1,1,7.88
156,堡林,2012-07-05,24.5,22,28.9,51,1.6,22.8,91.3,27.8,998.1,1006.3,0.8,5.99
156,堡林,2012-07-06,23.9,22,25.7,23.5,4.9,22.1,90.3,26.6,992.4,1000.5,0,1.78
156,堡林,2012-07-07,24.5,20.5,30.5,,2.2,19.4,74.9,22.5,995.5,1003.7,8,20.04
156,堡林,2012-07-08,25.3,21.2,31.8,,1.5,19.6,71.9,22.8,998.3,1006.5,9.7,21.61
156,堡林,2012-07-09,26,21.3,31,,1.5,20.1,71.9,23.6,998.2,1006.4,5.5,16.12
156,堡林,2012-07-10,23.7,21,27.8,18,2,19.6,79,22.9,994.9,1003.1,0.5,8.89
156,堡林,2012-07-11,24.5,23.3,25.8,67.5,3.1,23.2,93.3,28.5,989.4,997.5,0,2.75
156,堡林,2012-07-12,26,22.1,30.2,3.5,1.6,22.5,82.1,27.3,992.7,1000.8,1.3,11.42
156,堡林,2012-07-13,26.9,23.1,31.7,0,2.4,22.9,79.8,27.9,992.4,1000.5,3.2,13.49
156,堡林,2012-07-14,24.6,23.2,26.6,67.5,1.4,22.8,90.3,27.7,993,1001.2,0,4.37
156,堡林,2012-07-15,24.7,22.5,27.6,44,3,22.1,86,26.7,994,1002.1,1.4,7.07
156,堡林,2012-07-16,24.5,21.6,28.2,0.1,1.6,20.2,77.8,23.8,1001.3,1009.5,0.8,12.03
156,堡林,2012-07-17,23.9,22.2,26.1,14.5,2.1,22.2,90.8,26.8,1003.1,1011.3,0.1,4.19
156,堡林,2012-07-18,26.6,23.9,30,18.5,3.2,23,81.5,28.1,998,1006.1,2.6,9.8
156,堡林,2012-07-19,26.4,23.7,30.6,20.5,4.3,22.9,81.8,27.9,998,1006.2,3,11.38
156,堡林,2012-07-20,26.8,23.7,32.2,2,1.2,22.8,80.4,27.8,1001.3,1009.4,5,14.12
156,堡林,2012-07-21,27.8,23.8,33.5,0,1.7,22.7,75.5,27.6,1002,1010.2,7.1,18.68
156,堡林,2012-07-22,28.2,25.3,32.8,,3.1,22.6,72.9,27.5,1001.3,1009.5,11.4,21.85
156,堡林,2012-07-23,28.6,26.1,32.8,,3.2,22.6,70.8,27.5,1002.4,1010.5,6.5,17.24
156,堡林,2012-07-24,28.9,24,33.7,0,1.4,22.2,68.3,26.8,1005.5,1013.7,8.9,18.37
156,堡林,2012-07-25,29.1,24.9,34.3,,1.2,22.4,68.9,27.1,1005.6,1013.7,9.7,21.56
156,堡林,2012-07-26,29,24.7,34.1,,1.5,22.3,68.8,27,1002.7,1010.8,11.2,22.2
156,堡林,2012-07-27,28.6,24.8,34.5,,1.5,23.1,73.1,28.2,1001.9,1010.1,7.4,17.7
156,堡林,2012-07-28,29.6,25.4,35.2,,1.4,23.2,70,28.4,1002.3,1010.4,11.7,24.39
156,堡林,2012-07-29,29.7,26.3,34.6,,3.1,23.5,70.8,28.9,999.8,1007.9,12.8,22.54
156,堡林,2012-07-30,29.8,25.6,35,,2.6,22.5,66.1,27.2,998.9,1007,10.3,21.51
156,堡林,2012-07-31,29.8,25.4,35,,1.3,22.8,67.6,27.9,999.2,1007.3,9.3,17.18
156,堡林,2012-08-01,31,25.6,36.7,,2.8,21.7,60.3,26.1,997.9,1005.9,12.8,25.87
156,堡林,2012-08-02,29.8,26.4,34.1,,3.5,21.5,61.4,25.6,999.4,1007.5,4.1,12.41
156,堡林,2012-08-03,30.7,27.6,35.7,,3,21.2,57.9,25.1,1002,1010.1,13.1,24.42
156,堡林,2012-08-04,30.7,25.5,36.8,,2.3,21.2,58.3,25.1,1001.3,1009.4,12.2,22.96
156,堡林,2012-08-05,31.4,25.7,37.7,,2.5,21.5,57.6,25.7,998.3,1006.4,12.9,23.89
156,堡林,2012-08-06,29.5,24.5,36.1,47.5,2,23,70.5,28.2,997.8,1005.9,8.3,16.41
156,堡林,2012-08-07,29,24.6,34.1,,1.9,23.3,72.9,28.6,999.1,1007.2,8.6,18.74
156,堡林,2012-08-08,28.3,23.1,33.4,,2.3,20.2,62.4,23.6,999,1007.1,10.5,20.65
156,堡林,2012-08-09,28.2,25.5,33,1,1.5,22.4,71.8,27.1,998.5,1006.6,3.3,14.47
156,堡林,2012-08-10,25.6,23.5,28.6,9.5,1,22.9,85.3,27.8,998.1,1006.2,1,6.26
156,堡林,2012-08-11,28.3,23.3,34,,1.7,22.4,71.9,27.1,998.7,1006.8,9.2,20.61
156,堡林,2012-08-12,28.5,24.5,32.6,21,3.4,23.8,77,29.6,996.6,1004.7,8.5,18.14
156,堡林,2012-08-13,26.3,25.1,27.4,24,3.7,24.4,89.5,30.5,995.7,1003.8,0,2.83
156,堡林,2012-08-14,27.1,24.8,30.3,,2.3,23.2,80.5,28.5,999.6,1007.7,2,10.76
156,堡林,2012-08-15,28.1,26.4,30.6,0.5,4.9,23.3,75.9,28.6,999.4,1007.6,2.6,11.05
156,堡林,2012-08-16,26.2,24.3,30.3,47,1.8,23.6,86.4,29.2,1003.1,1011.3,2.9,9.72
156,堡林,2012-08-17,29.3,24.4,34.8,0,2.2,23.9,74,29.6,1003.8,1011.9,10.7,21.36
