수온(℃),pH,DO(㎎/L),Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2)
7.2,8.1,12.9,53.9,0.0,0.5,-2.6,5.5,0.0,2.8,-11.0,44.4,2.7,1019.1,1028.3,10.9,17.43
9.6,7.6,12.7,43.6,0.0,9.3,2.4,16.7,0.0,2.7,-3.2,49.1,5.1,1017.9,1026.8,9.4,16.44
10.3,7.8,12.4,67.4,0.0,4.2,0.2,11.2,0.0,1.5,-2.9,62.5,5.0,1011.8,1020.8,8.5,14.27
10.6,7.8,12.4,82.6,0.0,4.8,2.4,6.0,21.0,2.5,2.0,83.6,7.3,1010.7,1019.7,0.0,2.42
10.0,8.3,12.2,92.4,0.0,5.2,-0.2,11.8,0.0,1.6,-6.6,44.8,3.8,1016.2,1025.3,11.4,22.68
12.8,7.3,11.1,90.3,0.0,12.0,3.8,18.4,0.5,3.5,5.5,66.1,9.6,1007.2,1015.9,7.6,16.37
15.8,8.9,16.5,162.3,0.0,17.2,14.0,23.5,0.0,3.6,11.3,70.0,13.4,1012.2,1020.8,5.4,14.43
15.1,7.8,13.4,151.1,0.0,14.7,13.1,17.2,3.0,2.5,11.3,81.3,13.4,1006.8,1015.4,0.0,3.81
17.0,8.8,18.0,138.8,0.0,10.4,3.2,18.2,0.0,1.5,-0.2,51.8,6.1,1003.9,1012.7,11.2,23.33
18.4,7.5,14.3,66.9,0.0,14.4,9.0,23.7,0.0,1.4,5.0,56.3,8.8,1004.7,1013.3,11.4,23.11
17.3,7.4,7.0,30.3,0.0,17.0,9.2,25.3,0.0,2.0,10.2,67.8,12.5,1005.2,1013.7,9.1,20.8
17.2,7.2,8.1,61.3,0.0,12.9,8.4,18.2,0.5,2.2,1.5,50.9,7.0,1001.6,1010.2,12.6,27.32
18.6,7.1,11.6,62.0,0.0,19.9,15.5,25.4,0.0,3.5,12.2,62.5,14.2,1001.9,1010.3,7.8,19.17
28.1,8.7,14.1,83.3,0.0,23.6,16.2,31.6,0.0,1.3,9.0,44.0,11.7,1009.6,1017.9,11.2,24.57
23.5,7.0,8.1,76.6,500.0,21.7,19.7,26.4,0.1,2.7,14.0,62.3,16.1,1009.5,1017.9,4.1,14.01
24.2,8.0,10.3,120.9,0.0,22.3,17.3,28.1,0.0,2.0,13.8,60.6,15.8,1008.6,1017.0,6.9,17.98
21.1,7.3,11.3,70.9,0.0,18.9,14.2,24.8,0.0,1.9,13.1,72.0,15.2,996.1,1004.4,11.6,24.51
24.6,8.7,13.8,76.9,0.0,21.3,15.8,28.9,0.0,1.8,11.6,57.4,13.8,999.1,1007.4,8.5,22.15
23.7,7.3,10.8,114.8,0.0,19.5,14.3,26.9,0.0,1.7,13.8,71.4,15.9,1006.7,1015.1,10.2,22.02
21.3,6.7,8.0,41.2,0.0,16.9,16.0,18.0,14.5,2.0,14.9,89.0,17.1,1000.4,1008.9,0.0,3.85
20.8,6.5,5.1,18.3,0.0,18.4,14.4,23.5,0.5,1.6,12.0,70.0,14.3,998.8,1007.2,10.1,23.8
22.2,7.2,9.8,64.3,0.0,17.4,12.4,23.1,0.0,2.3,9.1,62.3,11.7,997.4,1005.8,12.6,25.61
27.0,8.8,17.2,67.3,0.0,21.5,14.1,28.4,0.0,1.7,9.7,51.5,12.2,1007.6,1016.0,11.1,22.63
22.7,7.7,10.4,82.8,0.0,22.4,16.8,29.9,0.0,1.3,10.5,50.0,12.8,1004.4,1012.7,9.4,23.31
23.8,8.5,13.2,98.0,0.0,21.0,17.2,27.7,0.0,1.4,11.2,55.0,13.3,1002.0,1010.3,7.6,20.56
26.3,7.2,4.7,36.1,0.0,25.1,19.8,31.7,0.0,3.8,13.6,50.3,15.6,999.2,1007.4,11.8,22.81
27.0,7.4,10.4,50.2,0.0,24.9,18.9,31.2,0.0,2.6,17.0,63.8,19.4,1003.6,1011.8,6.6,18.59
25.0,8.1,13.1,89.8,0.0,22.7,17.9,27.9,0.0,2.0,14.1,59.3,16.2,1003.0,1011.3,3.5,13.8
25.9,8.9,12.0,64.7,0.0,23.8,19.9,29.6,0.0,1.3,16.3,64.3,18.5,999.4,1007.7,10.8,24.11
25.0,8.4,9.4,93.5,0.0,23.8,19.1,30.9,0.0,2.0,16.0,64.4,18.2,997.1,1005.3,7.2,21.18
25.7,8.7,11.8,156.5,0.0,23.1,19.4,27.6,0.0,1.8,16.7,68.1,18.9,992.6,1000.8,1.6,13.5
26.1,8.0,10.8,72.5,0.0,23.1,19.9,30.6,32.5,2.0,17.7,73.9,20.2,998.7,1006.9,7.1,18.36
27.0,8.3,14.2,112.8,0.0,23.7,18.7,29.9,0.0,1.8,16.4,65.8,18.6,1003.1,1011.4,11.4,23.66
25.4,7.8,11.5,176.3,0.0,21.4,19.2,25.3,7.0,1.5,18.1,82.9,20.8,999.8,1008.2,0.0,6.35
25.7,7.9,11.4,143.5,0.0,24.2,18.8,31.4,3.0,2.5,17.8,70.3,20.4,992.0,1000.1,9.3,22.54
26.3,7.6,9.2,93.6,0.0,25.0,20.1,31.1,0.0,2.0,17.1,64.8,19.6,1001.6,1009.8,9.2,23.46
25.8,7.3,7.2,85.7,0.0,24.1,20.5,28.5,0.0,1.9,19.2,75.4,22.3,995.3,1003.5,3.6,15.64
25.8,7.6,12.1,146.9,0.0,24.7,22.6,28.5,0.0,2.5,21.2,81.4,25.2,997.0,1005.1,1.0,7.88
24.2,6.4,6.6,9.1,0.0,26.0,22.1,30.2,3.5,1.6,22.5,82.1,27.3,992.7,1000.8,1.3,11.42
23.0,6.8,9.3,5.1,0.0,24.5,21.6,28.2,0.1,1.6,20.2,77.8,23.8,1001.3,1009.5,0.8,12.03
29.2,8.6,15.4,71.2,0.0,28.9,24.0,33.7,0.0,1.4,22.2,68.3,26.8,1005.5,1013.7,8.9,18.37
31.4,9.3,13.0,29.9,3725.0,29.0,24.7,34.1,0.0,1.5,22.3,68.8,27.0,1002.7,1010.8,11.2,22.2
31.5,8.1,9.3,71.2,325.0,29.8,25.4,35.0,0.0,1.3,22.8,67.6,27.9,999.2,1007.3,9.3,17.18
30.8,7.1,8.0,60.9,0.0,29.8,26.4,34.1,0.0,3.5,21.5,61.4,25.6,999.4,1007.5,4.1,12.41
31.3,8.4,9.1,77.6,3025.0,30.7,27.6,35.7,0.0,3.0,21.2,57.9,25.1,1002.0,1010.1,13.1,24.42
30.2,7.5,7.0,71.0,1850.0,29.0,24.6,34.1,0.0,1.9,23.3,72.9,28.6,999.1,1007.2,8.6,18.74
31.5,8.8,9.0,100.3,2050.0,28.3,23.1,33.4,0.0,2.3,20.2,62.4,23.6,999.0,1007.1,10.5,20.65
27.4,6.4,4.2,26.4,325.0,27.1,24.8,30.3,0.0,2.3,23.2,80.5,28.5,999.6,1007.7,2.0,10.76
26.1,7.4,7.7,13.4,0.0,23.7,21.9,26.7,16.5,3.2,22.3,92.3,26.9,1004.7,1013.0,0.0,6.49
26.7,6.3,6.6,9.0,0.0,27.6,24.5,31.2,1.5,4.4,21.0,68.3,24.9,997.3,1005.4,0.5,10.51
25.1,7.3,7.9,7.1,375.0,24.6,21.6,29.4,34.0,2.8,21.4,83.0,25.6,1005.7,1013.9,3.2,9.56
23.5,7.7,8.6,4.9,0.0,23.6,18.9,28.6,0.0,2.0,17.0,69.1,19.4,1005.3,1013.6,9.9,18.99
20.2,7.5,9.3,5.1,1825.0,20.9,18.0,25.5,0.0,2.8,16.1,76.1,18.4,997.6,1005.9,7.9,13.86
23.0,7.2,9.6,25.7,1350.0,21.7,16.1,28.4,0.0,1.7,12.9,60.4,15.0,1011.4,1019.8,11.1,19.87
21.2,7.3,11.5,34.6,0.0,18.9,13.8,25.4,0.0,1.0,12.7,69.5,14.7,1008.3,1016.7,9.5,16.35
21.3,7.0,12.9,43.2,125.0,18.0,13.9,24.1,0.0,2.1,9.5,60.1,12.0,1012.6,1021.1,10.1,16.64
18.8,7.1,11.5,86.9,0.0,18.0,9.7,25.7,0.0,1.7,8.8,56.3,11.4,1010.3,1018.8,10.5,16.74
17.2,7.1,7.2,16.0,0.0,12.5,6.1,20.4,0.0,1.4,5.8,66.6,9.3,1011.9,1020.6,7.7,14.4
16.5,6.9,7.5,12.4,0.0,11.2,6.6,14.9,0.0,1.7,3.8,61.9,8.2,1008.6,1017.4,9.3,14.23
15.0,7.2,8.1,21.0,0.0,11.6,6.4,16.2,0.0,1.0,6.4,72.3,9.6,1010.1,1018.9,4.8,8.55
14.2,7.2,8.9,24.1,0.0,10.7,8.1,14.0,0.0,3.5,0.6,50.4,6.4,1007.7,1016.5,8.6,10.98
10.7,7.2,8.1,14.1,0.0,4.6,1.5,8.6,0.0,3.0,-4.0,55.1,4.6,1014.7,1023.7,2.9,6.73
9.3,7.5,11.7,14.8,0.0,8.0,2.6,16.2,0.0,2.2,1.9,66.5,7.1,1010.0,1018.9,6.7,9.22
8.1,7.6,11.1,23.9,0.0,1.7,-0.1,5.5,0.2,1.7,-3.4,69.6,4.8,1012.9,1022.0,6.9,9.83
4.8,7.6,12.4,14.0,0.0,-2.6,-6.3,2.3,0.0,2.4,-7.7,68.4,3.4,1016.0,1025.3,9.2,10.75
6.8,7.3,11.1,6.0,0.0,4.1,1.7,7.0,0.0,2.5,-0.4,72.6,6.0,1012.6,1021.6,1.1,2.99
3.7,7.1,14.4,3.5,20.0,-5.6,-10.2,-0.1,0.0,2.7,-17.6,40.4,1.6,1024.9,1034.4,9.3,11.86
3.8,8.5,14.3,103.2,0.0,-5.0,-7.5,-1.6,0.0,3.8,-12.5,56.5,2.4,1017.5,1026.9,9.2,9.35
4.0,8.5,17.0,104.7,0.0,-4.3,-7.8,-0.2,0.0,1.9,-9.5,67.0,3.0,1015.9,1025.2,7.0,7.83
3.1,8.6,16.8,113.2,0.0,-2.5,-9.7,3.6,0.0,1.1,-6.8,73.3,3.8,1017.6,1026.9,6.9,9.77
2.7,7.7,15.5,53.2,0.0,2.5,-1.6,8.7,0.0,0.8,-2.1,73.1,5.2,1016.0,1025.1,6.1,9.51
4.0,8.6,14.3,79.0,0.0,-0.8,-3.4,4.0,0.0,3.2,-15.7,33.5,1.9,1020.4,1029.6,9.5,11.81
3.5,7.7,14.2,51.8,0.0,-2.4,-5.6,3.1,0.0,2.0,-6.6,73.1,3.7,1020.5,1029.8,7.6,8.64
3.7,8.2,16.1,62.0,0.0,2.0,-0.9,5.3,0.0,2.1,-4.7,62.1,4.3,1019.2,1028.4,7.4,8.28
4.3,7.8,14.2,73.4,0.0,-1.4,-6.4,2.2,0.0,1.6,-7.2,65.3,3.6,1020.6,1029.9,4.5,6.57
4.1,8.5,17.5,137.0,0.0,4.3,0.6,10.0,0.0,0.8,-0.8,69.9,5.8,1011.7,1020.7,3.5,5.69
4.6,8.8,16.2,156.9,0.0,4.1,-0.2,8.7,0.0,2.1,-1.6,67.9,5.5,1012.3,1021.3,0.9,4.32
6.0,8.3,17.0,135.1,0.0,6.1,3.7,8.2,0.0,2.3,3.1,81.9,7.6,1010.8,1019.7,0.0,2.02
6.6,8.6,19.8,68.1,0.0,8.0,6.6,9.9,0.2,2.9,2.9,70.5,7.5,1011.3,1020.2,0.4,3.3
5.2,9.0,18.6,124.2,0.0,4.5,2.4,7.0,5.0,1.7,2.5,87.8,7.4,1011.8,1020.8,0.0,2.07
4.4,8.7,16.8,126.2,0.0,-1.7,-4.5,2.4,0.0,3.1,-8.5,60.5,3.3,1015.3,1024.6,8.1,10.06
3.5,7.8,14.5,80.5,0.0,-7.9,-9.7,-5.2,0.3,3.4,-13.0,67.0,2.3,1021.3,1030.9,9.1,10.98
2.8,7.9,15.2,75.1,0.0,2.2,-1.4,4.3,4.0,1.4,-0.1,85.5,6.2,1007.6,1016.6,0.0,2.08
3.7,8.8,16.1,60.6,0.0,3.7,2.6,4.7,0.0,1.5,-3.4,61.5,4.9,1014.4,1023.4,0.0,1.75
4.4,8.2,16.3,60.0,0.0,1.2,-2.4,5.7,0.0,3.0,-11.9,40.0,2.6,1014.9,1024.1,9.8,13.68
5.6,8.4,16.6,82.5,0.0,0.1,-7.4,7.7,0.0,1.0,-10.3,50.4,2.8,1018.6,1027.8,9.6,13.73
4.7,7.1,15.1,82.8,0.0,6.2,2.6,9.5,0.0,1.8,1.1,70.6,6.6,1005.8,1014.6,7.4,11.56
5.8,8.4,15.5,56.2,0.0,1.4,-5.0,9.3,0.0,2.4,-11.4,41.6,2.6,1016.4,1025.6,10.6,15.67
7.8,8.2,16.5,78.7,0.0,6.7,5.0,8.2,19.5,2.9,6.1,96.0,9.4,1001.8,1010.6,0.0,1.94
9.4,8.8,15.2,129.2,0.0,2.6,-3.5,10.8,0.0,1.3,-6.1,55.3,3.9,1018.3,1027.5,10.9,16.75
9.9,8.3,13.8,92.6,0.0,9.3,2.4,16.7,0.0,2.7,-3.2,49.1,5.1,1017.9,1026.8,9.4,16.44
8.8,8.5,14.6,105.3,0.0,4.2,0.2,11.2,0.0,1.5,-2.9,62.5,5.0,1011.8,1020.8,8.5,14.27
8.9,8.0,13.6,104.3,0.0,4.8,2.4,6.0,21.0,2.5,2.0,83.6,7.3,1010.7,1019.7,0.0,2.42
8.8,8.3,12.6,82.5,0.0,5.2,-0.2,11.8,0.0,1.6,-6.6,44.8,3.8,1016.2,1025.3,11.4,22.68
12.4,7.6,10.3,44.1,0.0,12.0,3.8,18.4,0.5,3.5,5.5,66.1,9.6,1007.2,1015.9,7.6,16.37
14.7,9.0,16.9,143.8,0.0,17.2,14.0,23.5,0.0,3.6,11.3,70.0,13.4,1012.2,1020.8,5.4,14.43
13.6,8.1,14.5,117.8,0.0,10.4,3.2,18.2,0.0,1.5,-0.2,51.8,6.1,1003.9,1012.7,11.2,23.33
14.7,8.4,12.8,21.1,0.0,14.4,9.0,23.7,0.0,1.4,5.0,56.3,8.8,1004.7,1013.3,11.4,23.11
15.7,8.5,10.6,22.7,0.0,16.0,8.5,24.0,0.0,1.8,3.0,45.5,7.7,1008.9,1017.5,9.9,19.76
17.1,8.2,10.6,52.9,0.0,17.0,9.2,25.3,0.0,2.0,10.2,67.8,12.5,1005.2,1013.7,9.1,20.8
16.3,7.4,8.5,19.0,0.0,12.9,8.4,18.2,0.5,2.2,1.5,50.9,7.0,1001.6,1010.2,12.6,27.32
18.3,7.1,9.1,29.5,0.0,19.9,15.5,25.4,0.0,3.5,12.2,62.5,14.2,1001.9,1010.3,7.8,19.17
19.0,7.8,9.8,21.3,0.0,19.8,16.3,26.9,4.5,1.8,16.5,83.0,18.8,996.5,1004.9,3.6,14.66
24.1,8.1,12.2,49.9,5500.0,21.3,15.8,28.9,0.0,1.8,11.6,57.4,13.8,999.1,1007.4,8.5,22.15
21.3,8.6,12.2,95.2,1050.0,19.5,14.3,26.9,0.0,1.7,13.8,71.4,15.9,1006.7,1015.1,10.2,22.02
21.1,7.7,8.9,22.2,0.0,16.9,16.0,18.0,14.5,2.0,14.9,89.0,17.1,1000.4,1008.9,0.0,3.85
21.2,7.0,7.1,17.3,0.0,17.4,12.4,23.1,0.0,2.3,9.1,62.3,11.7,997.4,1005.8,12.6,25.61
22.3,7.4,8.6,22.0,0.0,21.5,14.1,28.4,0.0,1.7,9.7,51.5,12.2,1007.6,1016.0,11.1,22.63
22.1,7.2,5.8,28.6,0.0,21.0,17.3,25.4,0.0,1.3,11.2,54.6,13.3,1003.0,1011.4,1.7,12.26
22.3,8.2,10.9,87.0,0.0,23.6,16.2,31.6,0.0,1.3,9.0,44.0,11.7,1009.6,1017.9,11.2,24.57
22.8,8.3,16.0,79.5,0.0,22.3,17.3,28.1,0.0,2.0,13.8,60.6,15.8,1008.6,1017.0,6.9,17.98
24.4,8.1,12.0,100.4,0.0,22.7,17.9,27.9,0.0,2.0,14.1,59.3,16.2,1003.0,1011.3,3.5,13.8
23.7,7.8,9.0,68.5,0.0,23.8,19.1,30.9,0.0,2.0,16.0,64.4,18.2,997.1,1005.3,7.2,21.18
27.8,6.8,9.0,146.9,0.0,23.1,19.4,27.6,0.0,1.8,16.7,68.1,18.9,992.6,1000.8,1.6,13.5
25.2,6.8,7.8,38.3,0.0,23.7,18.7,29.9,0.0,1.8,16.4,65.8,18.6,1003.1,1011.4,11.4,23.66
24.4,7.5,8.5,59.2,0.0,21.4,19.2,25.3,7.0,1.5,18.1,82.9,20.8,999.8,1008.2,0.0,6.35
26.2,8.5,10.4,84.9,0.0,25.2,20.2,31.8,5.5,2.2,18.5,69.1,21.3,998.1,1006.3,10.9,24.81
26.0,8.1,9.5,85.9,0.0,22.8,18.5,28.1,0.0,4.0,14.6,60.6,16.7,1002.1,1010.3,4.8,14.53
26.1,7.8,7.7,86.8,0.0,24.9,18.9,31.2,0.0,2.6,17.0,63.8,19.4,1003.6,1011.8,6.6,18.59
25.8,7.6,8.4,45.7,0.0,24.1,20.5,28.5,0.0,1.9,19.2,75.4,22.3,995.3,1003.5,3.6,15.64
25.3,6.5,5.4,27.6,0.0,24.5,22.0,28.9,51.0,1.6,22.8,91.3,27.8,998.1,1006.3,0.8,5.99
26.2,6.5,11.2,42.3,0.0,23.7,21.0,27.8,18.0,2.0,19.6,79.0,22.9,994.9,1003.1,0.5,8.89
24.3,6.7,7.6,6.0,0.0,26.8,23.7,32.2,2.0,1.2,22.8,80.4,27.8,1001.3,1009.4,5.0,14.12
27.7,6.8,9.7,36.3,0.0,28.6,26.1,32.8,0.0,3.2,22.6,70.8,27.5,1002.4,1010.5,6.5,17.24
31.2,9.6,10.8,76.8,0.0,29.8,26.4,34.1,0.0,3.5,21.5,61.4,25.6,999.4,1007.5,4.1,12.41
31.5,9.6,10.6,86.6,0.0,29.0,24.6,34.1,0.0,1.9,23.3,72.9,28.6,999.1,1007.2,8.6,18.74
30.7,8.8,8.7,58.8,4750.0,28.2,25.5,33.0,1.0,1.5,22.4,71.8,27.1,998.5,1006.6,3.3,14.47
29.3,7.7,6.0,53.7,900.0,26.3,25.1,27.4,24.0,3.7,24.4,89.5,30.5,995.7,1003.8,0.0,2.83
29.1,6.6,10.4,23.4,75.0,28.2,25.7,33.4,6.0,2.6,23.2,74.8,28.4,1001.7,1009.8,8.7,18.34
23.6,6.1,8.4,3.9,0.0,26.0,23.6,30.9,3.5,2.8,22.5,82.1,27.2,1002.2,1010.3,3.2,12.79
24.5,7.4,7.8,6.4,400.0,25.0,20.9,31.4,0.0,2.2,19.4,73.1,22.5,1004.0,1012.2,9.5,15.98
23.5,6.7,8.5,14.1,0.0,23.6,19.5,29.3,0.0,1.6,17.4,69.9,19.9,1002.9,1011.1,6.6,15.88
21.9,7.6,9.2,2.9,650.0,20.2,16.8,25.8,0.0,1.2,15.3,75.5,17.4,1007.7,1016.1,8.0,14.55
23.4,7.6,9.4,36.3,0.0,21.7,16.1,28.4,0.0,1.7,12.9,60.4,15.0,1011.4,1019.8,11.1,19.87
22.3,6.6,10.7,35.9,1575.0,18.9,13.8,25.4,0.0,1.0,12.7,69.5,14.7,1008.3,1016.7,9.5,16.35
21.4,8.7,10.9,56.3,1050.0,17.1,11.9,24.1,0.0,1.0,10.4,66.4,12.6,1009.1,1017.7,7.1,13.55
19.5,8.4,10.9,54.1,0.0,18.0,9.7,25.7,0.0,1.7,8.8,56.3,11.4,1010.3,1018.8,10.5,16.74
17.0,8.4,10.9,37.9,0.0,12.4,8.7,16.8,0.0,2.1,3.2,55.4,7.7,1009.7,1018.4,10.1,16.07
17.2,6.3,9.4,40.8,0.0,13.7,8.4,19.8,0.0,1.6,6.0,63.1,9.4,1011.1,1019.7,9.8,15.14
13.9,7.3,9.5,23.9,0.0,11.4,9.0,15.4,0.0,1.4,5.0,65.6,8.7,1009.1,1017.8,7.0,9.2
12.8,7.5,11.4,42.4,0.0,9.2,4.9,13.9,0.3,2.6,0.9,58.5,6.6,1003.3,1012.1,5.7,8.67
11.2,7.6,11.1,29.7,0.0,6.1,1.4,13.4,0.1,1.7,0.5,68.3,6.4,1011.1,1020.0,6.1,7.94
9.1,7.8,12.9,50.4,0.0,4.9,1.3,9.1,0.0,2.5,-6.8,45.0,3.9,1013.7,1022.7,6.1,9.88
7.4,7.7,15.3,52.9,0.0,2.0,-0.8,9.1,14.5,2.5,-1.2,80.6,5.6,1009.3,1018.4,4.5,7.03
5.5,7.1,13.3,45.8,0.0,-0.8,-3.9,3.2,0.0,2.8,-6.5,65.6,3.8,1017.3,1026.6,8.1,10.32
5.2,7.3,11.3,18.5,0.0,4.1,1.7,7.0,0.0,2.5,-0.4,72.6,6.0,1012.6,1021.6,1.1,2.99
3.7,6.7,12.5,9.0,0.0,-5.6,-10.2,-0.1,0.0,2.7,-17.6,40.4,1.6,1024.9,1034.4,9.3,11.86
3.1,7.1,10.8,4.1,0.0,-6.0,-10.3,-0.7,0.0,2.0,-14.6,52.4,2.0,1022.3,1031.8,9.2,12.0
3.4,7.3,11.7,4.9,0.0,-4.0,-7.6,0.7,0.0,3.4,-14.9,45.3,2.0,1021.2,1030.6,9.3,12.45
4.3,6.6,12.2,12.1,0.0,0.2,-4.6,6.4,0.0,1.2,-7.3,58.6,3.5,1016.0,1025.2,7.9,10.29
5.9,7.1,10.6,17.3,0.0,2.8,1.4,3.7,3.0,1.1,1.5,91.5,6.8,1011.3,1020.3,0.0,1.38
3.3,7.3,13.1,23.0,0.0,0.0,-5.4,5.9,0.0,0.9,-5.4,68.4,4.1,1018.9,1028.1,8.5,12.53
5.8,7.2,9.9,5.8,0.0,1.3,0.4,3.5,2.0,2.0,-2.0,78.8,5.3,1011.0,1020.1,1.9,6.29
3.4,7.2,12.2,2.6,0.0,-0.8,-2.5,2.1,0.5,1.4,-6.3,66.4,3.9,1016.8,1026.1,1.3,4.29
5.3,7.2,10.8,4.1,0.0,3.6,0.8,6.3,1.0,2.2,-1.7,70.1,5.6,1008.8,1017.8,0.1,3.65
5.6,7.2,11.5,5.5,0.0,6.0,-2.2,14.0,0.0,1.0,-9.9,35.9,3.0,1019.2,1028.2,9.1,15.95
9.2,7.2,13.5,96.4,0.0,10.8,4.7,15.8,1.0,2.6,4.6,68.8,8.9,1005.2,1014.0,4.1,8.18
13.3,8.2,14.7,80.7,0.0,11.6,2.6,19.7,0.0,2.3,2.0,56.0,7.4,1007.3,1016.0,8.2,15.84
13.2,7.2,8.8,23.6,0.0,13.1,6.9,19.6,0.0,2.5,7.1,69.4,10.2,1003.6,1012.2,5.7,14.98
12.9,7.6,12.6,46.9,0.0,11.1,6.0,19.2,0.0,1.5,-0.8,46.0,5.8,1007.5,1016.2,10.9,20.71
13.4,7.6,12.9,64.0,0.0,11.9,4.2,20.8,0.0,2.2,0.2,49.5,6.3,1010.8,1019.5,10.6,18.95
12.0,8.1,10.0,77.4,0.0,5.8,2.0,9.5,0.0,2.4,-4.6,49.0,4.4,1011.4,1020.3,10.6,18.78
15.7,8.9,15.1,106.7,0.0,11.9,1.5,22.1,0.0,2.4,-0.9,44.6,6.1,1001.9,1010.6,10.0,18.68
15.4,7.8,11.8,84.9,0.0,18.3,14.7,24.6,1.5,3.2,13.6,75.9,15.6,999.1,1007.5,7.8,18.62
15.5,7.0,6.7,15.7,0.0,12.6,3.9,21.2,0.0,1.8,-1.3,43.1,5.6,1013.5,1022.3,10.8,24.8
17.3,7.1,5.5,7.7,0.0,13.3,7.3,21.7,0.0,1.6,2.4,56.5,7.6,1002.3,1010.9,7.8,16.24
20.3,8.4,16.3,48.8,0.0,18.6,11.5,27.3,0.0,1.6,5.8,44.6,9.4,1011.3,1019.8,11.2,22.72
23.2,8.1,10.4,96.1,0.0,21.3,13.7,29.1,0.0,2.5,10.1,51.6,12.4,1003.9,1012.3,12.0,26.74
22.4,7.0,8.9,115.6,0.0,17.0,13.7,21.4,0.0,1.4,13.0,78.3,15.0,996.5,1004.9,4.0,13.35
22.8,7.6,8.4,101.0,100.0,22.4,14.8,30.1,0.0,1.3,12.4,56.0,14.5,1002.9,1011.3,11.4,24.64
